WCl4,-0.918452587444,-1.1107083384953,0.0
SrSe,-1.99908630827,-2.0724931,2.414
Ce2Ru,-0.268403845666,0.927993651666667,0.0
TiMnO3,-2.8160758017,-2.83747927972688,2.199
TiNi,-0.351250292435,-0.377978861893132,0.0
CuI,-0.368968012,-0.246013716214159,1.195
Eu2O3,-3.4365846466,-2.19855151152725,0.0
ThAl3,-0.289455923628,-0.398943725000001,0.0
LaAl2,-0.52036926816,-0.497099028333333,0.0
BaTe,-2.122602496,-1.79088726166666,1.708
HfSi2,-0.72264872575,-0.567212625,0.0
In2S3O12,-1.69913061706,-1.77797229456383,4.246
Cs3CrO4,-1.99917699564,-1.88399314784678,1.184
CdSb,-0.13225844947,0.1840991925,0.0
VSi2,-0.4336410568,-0.476250891111111,0.0
TmI3,-1.60361167575,-0.737248664321238,0.69
Mg2Pb,-0.171722134873,-0.0630420461111134,0.0
MnAs,-0.29487384577,-0.242747339396551,0.0
GeAs,-0.06504615852,0.0525445800000002,0.0
WS2,-0.896191517387,-1.00478686267557,1.422
CoI2,-0.325783553667,-0.0317467282855445,0.0
NdCl3,-2.69704216075,-2.56584697171434,4.435
WBr4,-0.54930631,-0.5516136779326686,2.035
ThO2,-4.236913576,-4.10115546266666,3.6
CsNO2,-0.98434654325,-1.17505365927525,2.331
PtCl2,-0.36859489828,-0.560675583746082,1.111
Cs2Te2O5,-1.558786208,-1.34274367845116,0.0
SrBr2,-2.48042546299,-2.36208299827722,4.723
HoI3,-1.618898974,-0.801837592654571,0.767
B2O3,-2.639779569,-2.60551108652725,
ZrO2,-3.80126876033,-3.5646174672525,3.344
NdH2,-0.698161410497,-0.628316593122784,0.0
RbH,-0.2710256605,-0.158702791092088,2.953
KTl,-0.174540525362,-0.0867225875000002,0.0
BeH8SO8,-1.39560077685,-1.53187089686204,5.998
Th3Si2,-0.59061829022,0.411280092999999,0.0
SrZrO3,-3.66339633128,-3.44306304152725,3.553
PbSe,-0.518201062876,-0.330548885,0.0
TaCl5,-1.48377480388,-1.61086785273816,2.847
BMo2,-0.456718831333,-0.313424321666666,0.0
ReCl3,-0.684047002135,0.750275702035658,0.0
Mg2Si,-0.273193865784,-0.16171741777778,0.281000000000001
TmF3,-3.9005930145,-4.09361641434833,5.632
FeSi2,-0.280522441101,-0.387308936666667,0.0
